addr	name	kind	module	class	attributed_by	size
00404570	FUN_00404570	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	116
004045f0	abstr::Machine::deleting_destructor	game	engine	Machine	rtti	30
00404620	std::_System_error_category::deleting_destructor	lib	_library	stl	stl-ns	31
00404650	FUN_00404650	gamemisc	engine	_helpers_dtor-like	role:dtor-like	212
00404760	FUN_00404760	gamemisc	engine	_helpers_dtor-like	role:dtor-like	242
00404890	FUN_00404890	gamemisc	engine	_helpers_dtor-like	role:dtor-like	216
004049a0	FUN_004049a0	gamemisc	engine	_helpers_dtor-like	role:dtor-like	207
00404ab0	FUN_00404ab0	gamemisc	engine	_helpers_dtor-like	role:dtor-like	241
00404be0	FUN_00404be0	gamemisc	engine	_helpers_dtor-like	role:dtor-like	219
00404cf0	FUN_00404cf0	gamemisc	engine	_helpers_dtor-like	role:dtor-like	221
00404e00	FUN_00404e00	gamemisc	engine	_helpers_dtor-like	role:dtor-like	213
00404f10	FUN_00404f10	gamemisc	engine	_helpers_dtor-like	role:dtor-like	249
0040503c	std::basic_stringstream<char,std::char_traits<char>,std::allocator<char>_>::vfunction2	lib	_library	stl	stl-ns	12
00405048	std::basic_ifstream<char,std::char_traits<char>_>::vfunction2	lib	_library	stl	stl-ns	12
00405054	std::basic_stringstream<char,std::char_traits<char>,std::allocator<char>_>::vfunction3	lib	_library	stl	stl-ns	12
00405060	FUN_00405060	gamemisc	control	Unsorted	logic:caller-vote	85
004050c0	FUN_004050c0	gamemisc	control	Helpers	caller-vote	55
00405100	fwd_0040da70_405100	gamemisc	game_misc	_helpers_thunk	role:thunk	18
00405120	FUN_00405120	gamemisc	engine	_indirect_callback	role:callback	136
004051b0	fwd_0040da70_4051b0	gamemisc	game_misc	_helpers_thunk	role:thunk	33
004051e0	fwd_0040da70_4051e0	gamemisc	game_misc	_helpers_thunk	role:thunk	46
00405210	FUN_00405210	gamemisc	engine	_indirect_callback	role:callback	120
00405290	fwd_0040c390_405290	gamemisc	game_misc	_helpers_thunk	role:thunk	18
004052b0	fwd_0040c390_4052b0	gamemisc	game_misc	_helpers_thunk	role:thunk	45
004052e0	FUN_004052e0	gamemisc	engine	_indirect_callback	role:callback	192
004053b0	FUN_004053b0	gamemisc	engine	_indirect_callback	role:callback	99
00405420	FUN_00405420	gamemisc	engine	Helpers	caller-vote	66
00405470	FUN_00405470	gamemisc	engine	_helpers_wrapper	role:wrapper	53
004054b0	FUN_004054b0	gamemisc	engine	Unsorted	logic:caller-vote	63
004054f0	FUN_004054f0	gamemisc	control	_helpers_dtor-like	role:dtor-like	242
00405586	Catch_All@00405586	lib	_library	eh_funclets	eh	32
004055c3	Catch_All@004055c3	lib	_library	eh_funclets	eh	42
00405640	FUN_00405640	gamemisc	engine	_helpers_dtor-like	role:dtor-like	181
00405700	FUN_00405700	gamemisc	engine	_helpers_dtor-like	role:dtor-like	208
00405810	FUN_00405810	gamemisc	game_misc	_helpers_wrapper	role:wrapper	45
00405850	FUN_00405850	gamemisc	engine	_helpers_dtor-like	role:dtor-like	207
00405960	FUN_00405960	gamemisc	engine	_helpers_dtor-like	role:dtor-like	215
00405a70	FUN_00405a70	gamemisc	engine	_helpers_dtor-like	role:dtor-like	242
00405ba0	FUN_00405ba0	gamemisc	engine	_helpers_dtor-like	role:dtor-like	219
00405cc0	FUN_00405cc0	gamemisc	control	Helpers	caller-vote	328
00405e10	FUN_00405e10	gamemisc	audio	Helpers	caller-vote	76
00405e70	FUN_00405e70	gamemisc	engine	_helpers_dtor-like	role:dtor-like	224
