rva	name	size
a720	?__abi_GetIids@Exception@Platform@@U$AAGJPAKPAPAVGuid@2@@Z	111
a78f	?__abi_GetRuntimeClassName@Exception@Platform@@U$AAGJPAPAUHSTRING__@@@Z	23
a7a6	?__abi_QueryInterface@STAThreadAttribute@Platform@@U$AAGJAAVGuid@2@PAPAX@Z	113
a817	?__abi_AddRef@MTAThreadAttribute@Platform@@U$AAGKXZ	18
a829	?__abi_Release@OnePhaseConstructedAttribute@CompilerServices@Runtime@Platform@@U$AAGKXZ	39
a850	?__abi_GetIids@DisconnectedException@Platform@@U$AAGJPAKPAPAVGuid@2@@Z	21
a865	?__abi_GetRuntimeClassName@STAThreadAttribute@Platform@@U$AAGJPAPAUHSTRING__@@@Z	23
a87c	?__abi_GetRuntimeClassName@MTAThreadAttribute@Platform@@U$AAGJPAPAUHSTRING__@@@Z	23
a893	?__abi_GetRuntimeClassName@OnePhaseConstructedAttribute@CompilerServices@Runtime@Platform@@U$AAGJPAPAUHSTRING__@@@Z	23
a8aa	?<Dispose>@IDisposable@Platform@@U$AAAXXZ	25
a8c3	?get@Value@?$IBox@P$AAVString@Platform@@@Platform@@U$AAAP$AAVString@3@XZ	71
a90a	?get@Value@?$IBoxArray@E@Platform@@U$AAAP$01$AAV?$Array@E$00@3@XZ	117
a980	~WriteOnlyArray<unsigned_char,1>	42
a9f2	?get@?Q?$IBoxArray@E@Platform@@Value@?$Array@E$00@2@U$AAAP$01$AAV42@XZ	84
a9fe	??0?$Array@E$00@Platform@@Q$AAA@PAEI@Z	108
aa6a	?CopyToOrDetach@?$Array@_N$00@Platform@@A$AAAXPAPA_NPAI@Z	117
aae0	??0?$WriteOnlyArray@E$00@Platform@@I$AAA@PAEI@Z	114
ab52	?AllocateAndCopyElements@?$WriteOnlyArray@_N$00@Platform@@KAPA_NPB_NI@Z	78
aba1	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
abab	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WCA@$AAGJPAPAUHSTRING__@@@Z	10
abb5	?GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$Array@VRect@Foundation@Windows@@$00@3@WBM@$AAAP$AAUIWeakReference@23@XZ	10
abbf	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
abc9	?__abi_AddRef@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@W7$AAGKXZ	10
abd3	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@E$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
abdd	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WEA@$AAGJPAPAUHSTRING__@@@Z	10
